city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Ismaïlia,Egypt,EG,30.5903,32.26,656135,1,1,0,4,0,6,0.9,101,1.5,5,17.1,39.4,15.0,470,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,30.0,30.5
Lilongwe,Malawi,MW,-13.9833,33.7833,646750,6,12,0,10,0,33,5.1,283,4.4,6,2.8,48.9,40.0,593,0,0.0,48.0,99.0,0,41.3,12.0,2.3,2.5,2.3,24.2,35.0,35.0,44.0,18.3
Kikwit,Congo (Kinshasa),CD,-5.03,18.85,637736,0,1,0,0,0,1,0.2,90,1.4,1,3.7,1.3,20.0,159,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,12.0,11.6
Bur Said,Egypt,EG,31.26,32.29,623864,3,1,0,3,0,7,1.1,303,4.9,15,54.1,48.4,15.0,733,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,35.0,33.2
Asmara,Eritrea,ER,15.3333,38.9333,620802,1,1,0,7,0,9,1.4,261,4.2,3,3.7,200.4,40.0,1515,0,0.0,28.0,99.0,0,28.3,48.4,1.8,2.0,1.8,16.9,28.0,28.0,20.0,18.1
Luxor,Egypt,EG,25.7,32.65,609248,1,9,0,0,0,10,1.6,101,1.7,5,18.5,70.8,15.0,635,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,32.0,31.5
Constantine,Algeria,DZ,36.36,6.5999,605179,13,103,0,137,0,271,44.8,918,15.2,46,156.3,196.8,15.0,2228,0,0.0,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,45.6
Sohag,Egypt,EG,26.5504,31.7,600000,4,47,0,9,0,60,10.0,404,6.7,20,75.0,431.3,15.0,3128,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,62.0,45.9
El Mansura,Egypt,EG,31.0504,31.38,600000,10,8,0,24,0,44,7.3,1009,16.8,50,187.4,316.3,15.0,3112,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,67.0,49.9
Port Louis,Mauritius,MU,-20.1666,57.5,595491,5,22,0,72,4,120,20.2,1893,31.8,95,251.9,260.0,40.0,3286,219,36.8,78.0,90.0,1,616.2,45.2,3.0,3.3,3.0,36.3,68.0,68.0,80.0,62.2
Abeokuta,Nigeria,NG,7.1604,3.35,593100,7,0,0,0,0,7,1.2,118,2.0,2,16.5,21.8,30.0,405,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,33.0,20.0
Blantyre,Malawi,MW,-15.79,34.9899,584877,30,7,0,7,0,44,7.5,1414,24.2,28,15.6,72.0,40.0,747,0,0.0,48.0,99.0,0,41.3,12.0,2.3,2.5,2.3,24.2,35.0,35.0,52.0,27.3
Kisangani,Congo (Kinshasa),CD,0.52,25.22,578470,0,6,0,1,0,8,1.4,90,1.6,1,4.0,11.7,20.0,207,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,15.0,12.0
Libreville,Gabon,GA,0.3854,9.458,578156,5,162,0,84,3,264,45.7,1128,19.5,23,52.2,269.6,20.0,1976,114,19.7,45.0,99.0,0,253.0,17.3,2.0,2.3,2.0,23.8,48.0,48.0,72.0,36.8
Bouaké,Ivory Coast,CI,7.69,-5.03,567481,0,0,0,0,0,0,0.0,212,3.7,4,23.8,92.7,30.0,832,0,0.0,50.0,88.0,1,87.7,32.0,2.3,2.5,2.3,26.7,36.0,36.0,14.0,22.3
Uyo,Nigeria,NG,5.008,7.85,554906,2,0,0,13,0,15,2.7,34,0.6,1,5.0,49.9,30.0,471,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,33.0,20.0
Kenitra,Morocco,MA,34.2704,-6.58,551786,1,31,0,296,0,334,60.5,112,2.0,6,22.1,84.4,15.0,670,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,56.0,33.9
Matola,Mozambique,MZ,-25.9696,32.46,543907,2,24,0,4,0,30,5.5,266,4.9,5,6.0,58.2,40.0,567,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,47.0,17.0
Beira,Mozambique,MZ,-19.82,34.87,530604,5,16,0,0,0,21,4.0,665,12.5,13,15.3,41.8,40.0,515,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,40.0,19.9
Blida,Algeria,DZ,36.4203,2.83,511348,5,172,0,169,4,384,75.1,353,6.9,18,71.2,330.0,15.0,2128,226,44.2,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,47.1
Suez,Egypt,EG,30.005,32.5499,508335,3,2,0,6,0,12,2.4,303,6.0,15,66.4,101.8,15.0,931,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,39.0,35.6
Annaba,Algeria,DZ,36.92,7.76,503524,6,47,0,63,4,125,24.8,424,8.4,21,86.7,109.1,15.0,1061,226,44.9,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,78.0,41.6
Damanhûr,Egypt,EG,31.0504,30.47,500000,2,2,0,9,1,14,2.8,202,4.0,10,45.0,120.8,15.0,904,58,11.6,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,40.0,35.6
Awka,Nigeria,NG,6.2104,7.07,500000,2,0,0,2,0,4,0.8,34,0.7,1,5.6,14.8,30.0,252,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,27.0,19.0
El Minya,Egypt,EG,28.09,30.75,500000,7,4,0,9,0,20,4.0,706,14.1,35,157.4,172.5,15.0,1725,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,49.0,43.7
Mwanza,Tanzania,TZ,-2.52,32.93,493944,48,84,0,228,4,365,73.9,1090,22.1,22,46.2,44.8,40.0,647,200,40.5,62.0,88.0,1,36.3,27.9,2.5,3.0,2.5,29.5,36.0,36.0,74.0,33.3
Port Sudan,Sudan,SD,19.6158,37.2164,489725,3,0,0,1,0,4,0.8,239,4.9,5,18.5,9.4,15.0,210,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,26.0,15.5
Beni Suef,Egypt,EG,29.0804,31.09,489450,2,0,0,4,1,7,1.4,202,4.1,10,45.9,61.7,15.0,600,58,11.9,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,36.0,33.9
Ife,Nigeria,NG,7.4804,4.56,482365,2,0,0,0,0,2,0.4,34,0.7,1,5.8,7.6,30.0,210,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,26.0,18.8
Nazret,Ethiopia,ET,8.55,39.27,476892,0,4,0,17,0,21,4.4,24,0.5,0,2.4,47.8,40.0,430,0,0.0,62.0,85.0,1,34.8,46.3,2.5,3.0,2.5,28.4,34.0,34.0,27.0,20.7
Bloemfontein,South Africa,ZA,-29.12,26.2299,463064,3,6,0,17,0,27,5.8,1780,38.4,89,130.8,364.7,25.0,2410,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,48.0,64.9
Calabar,Nigeria,NG,4.9604,8.33,461796,1,0,0,0,0,1,0.2,17,0.4,0,3.0,4.0,30.0,171,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,20.0,18.4
Sfax,Tunisia,TN,34.75,10.72,453050,3,24,0,147,1,179,39.5,895,19.8,45,134.4,315.2,15.0,2105,58,12.8,82.0,72.0,1,317.7,37.9,3.3,3.5,3.3,39.8,65.0,65.0,74.0,53.7
Chlef,Algeria,DZ,36.1704,1.32,449167,7,218,0,286,0,516,114.9,494,11.0,25,113.4,504.8,15.0,2844,0,0.0,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,48.4
Ado Ekiti,Nigeria,NG,7.6304,5.22,446749,0,0,0,0,0,0,0.0,17,0.4,0,3.1,4.1,30.0,166,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,15.0,18.5
Bamenda,Cameroon,CM,5.96,10.15,445299,2,3,0,4,0,10,2.2,381,8.6,8,2.8,11.0,20.0,151,0,0.0,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,32.0,19.6
Garoua,Cameroon,CM,9.3,13.39,436899,13,30,0,23,0,68,15.6,2479,56.7,50,18.8,76.3,20.0,503,0,0.0,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,60.0,38.6
Bukavu,Congo (Kinshasa),CD,-2.51,28.84,436779,6,60,0,2,0,94,21.5,538,12.3,5,32.1,182.0,20.0,1022,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,56.0,22.2
Likasi,Congo (Kinshasa),CD,-10.97,26.78,434408,0,0,0,0,0,0,0.0,90,2.1,1,5.4,1.9,20.0,119,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,11.0,11.9
Katsina,Nigeria,NG,12.9904,7.6,432149,2,0,0,1,0,3,0.7,34,0.8,1,6.5,12.8,30.0,213,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,27.0,19.0
Welkom,South Africa,ZA,-27.97,26.73,431944,2,0,0,9,0,11,2.5,1187,27.5,59,93.5,159.3,25.0,1200,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,46.0,53.3
Arak,Algeria,DZ,25.28,3.75,423251,0,0,0,0,0,0,0.0,71,1.7,4,17.2,1.0,15.0,141,0,0.0,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,25.0,30.2
Akure,Nigeria,NG,7.2504,5.2,420594,2,4,0,5,0,12,2.9,34,0.8,1,6.6,52.6,30.0,376,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,48.0,20.2
Asyut,Egypt,EG,27.19,31.1799,420585,20,8,0,7,0,36,8.6,2018,48.0,101,534.7,369.2,15.0,3865,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,63.0,62.4
Kolwezi,Congo (Kinshasa),CD,-10.7167,25.4724,418000,0,0,0,0,0,0,0.0,90,2.2,1,5.6,2.0,20.0,115,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,11.0,12.0
Oujda,Morocco,MA,34.69,-1.91,409391,1,6,0,383,1,394,96.2,112,2.7,6,29.8,134.1,15.0,733,58,14.2,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,56.0,36.9
Oshogbo,Nigeria,NG,7.7704,4.56,408245,4,1,0,2,0,7,1.7,67,1.6,1,13.7,31.6,30.0,307,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,30.0,20.1
Kitwe,Zambia,ZM,-12.81,28.22,404901,0,49,0,0,0,50,12.3,235,5.8,5,4.7,271.7,25.0,1220,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,45.0,27.9
Tanta,Egypt,EG,30.7904,31.0,404901,3,4,0,4,1,13,3.2,303,7.5,15,83.3,138.5,15.0,959,58,14.3,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,42.0,38.9
Zanzibar,Tanzania,TZ,-6.16,39.2,403658,64,27,0,99,1,194,48.1,1453,36.0,29,75.3,29.1,40.0,583,50,12.4,62.0,88.0,1,36.3,27.9,2.5,3.0,2.5,29.5,36.0,36.0,74.0,37.2
Bissau,Guinea Bissau,GW,11.865,-15.5984,403339,1,2,0,16,0,19,4.7,403,10.0,4,24.9,92.6,30.0,595,0,0.0,28.0,99.0,0,82.1,61.6,1.5,1.8,1.5,16.3,28.0,28.0,30.0,18.0
Mbale,Uganda,UG,1.0904,34.17,402368,61,339,0,68,5,478,118.8,120,3.0,2,12.3,202.6,40.0,1026,250,62.1,55.0,85.0,1,45.2,32.2,2.8,3.0,2.8,31.1,38.0,38.0,60.0,31.4
Kassala,Sudan,SD,15.46,36.39,401477,2,1,0,4,0,8,2.0,159,4.0,3,15.0,22.9,15.0,213,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,38.0,15.4
Ndola,Zambia,ZM,-12.9999,28.65,396339,1,11,0,1,0,13,3.3,235,5.9,5,4.8,72.2,25.0,404,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,30.0,22.0
Kisumu,Kenya,KE,-0.09,34.75,395615,18,42,0,64,1,129,32.6,547,13.8,11,27.0,152.5,40.0,868,54,13.6,65.0,75.0,1,85.0,24.2,3.0,3.3,2.8,35.1,42.0,42.0,62.0,34.3
Al-Ubayyid,Sudan,SD,13.1833,30.2167,393311,0,0,0,0,0,0,0.0,80,2.0,2,7.7,2.9,15.0,101,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,14.0,13.9
Nyala,Sudan,SD,12.06,24.89,392373,0,0,0,0,0,0,0.0,80,2.0,2,7.7,2.9,15.0,101,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,14.0,13.9
Nampula,Mozambique,MZ,-15.136,39.293,388526,0,18,0,15,0,33,8.5,133,3.4,3,4.2,89.6,40.0,520,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,38.0,17.3
Misrata,Libya,LY,32.38,15.1,386120,28,88,0,118,0,239,61.9,3425,88.7,171,517.6,1163.4,15.0,6549,0,0.0,58.0,99.0,0,470.4,19.2,2.5,2.8,2.5,24.7,58.0,58.0,76.0,60.7
Béjaïa,Algeria,DZ,36.7604,5.07,384937,5,65,0,80,3,174,45.2,353,9.2,18,94.5,198.6,15.0,1186,170,44.2,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,44.7
Nakuru,Kenya,KE,-0.28,36.07,364727,9,8,0,19,0,37,10.1,274,7.5,5,14.7,47.4,40.0,372,0,0.0,65.0,75.0,1,85.0,24.2,3.0,3.3,2.8,35.1,42.0,42.0,77.0,27.2
Maseru,Lesotho,LS,-29.3167,27.4833,361324,2,21,0,24,0,53,14.7,470,13.0,9,18.4,339.9,25.0,1385,0,0.0,45.0,99.0,0,122.6,13.2,2.3,2.5,2.3,21.8,38.0,38.0,55.0,32.2
Tamale,Ghana,GH,9.4004,-0.84,360579,2,8,0,57,1,69,19.1,120,3.3,2,13.9,338.3,30.0,1378,50,13.9,68.0,80.0,1,70.3,26.7,2.5,3.0,2.5,32.7,45.0,45.0,66.0,34.0
Bobo Dioulasso,Burkina Faso,BF,11.18,-4.29,360106,0,0,0,0,0,0,0.0,150,4.2,3,22.4,172.7,30.0,811,0,0.0,42.0,99.0,0,71.7,43.8,2.3,2.5,2.0,22.6,32.0,32.0,13.0,21.4
Safi,Morocco,MA,32.32,-9.24,353476,0,0,0,139,0,140,39.6,112,3.2,6,34.5,55.2,15.0,370,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,51.0,33.8
Eldoret,Kenya,KE,0.52,35.27,353381,10,7,0,0,0,18,5.1,304,8.6,6,16.8,23.8,40.0,285,0,0.0,65.0,75.0,1,85.0,24.2,3.0,3.3,2.8,35.1,42.0,42.0,62.0,27.0
Mbombela,South Africa,ZA,-25.4696,30.98,348138,2,10,0,8,1,29,8.3,1187,34.1,59,116.0,521.0,25.0,2305,58,16.7,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,64.0,64.6
Kosti,Sudan,SD,13.17,32.66,345068,0,2,0,0,0,2,0.6,80,2.3,2,8.7,6.7,15.0,105,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,16.0,14.1
Arusha,Tanzania,TZ,-3.36,36.67,341136,11,12,0,43,3,72,21.1,250,7.3,5,15.3,12.8,40.0,232,150,44.0,62.0,88.0,1,36.3,27.9,2.5,3.0,2.5,29.5,36.0,36.0,74.0,25.8
Chitungwiza,Zimbabwe,ZW,-18.0,31.1,340360,1,6,0,1,0,8,2.4,456,13.4,9,12.8,85.2,25.0,419,0,0.0,45.0,90.0,1,62.9,10.6,2.5,2.8,2.5,26.1,40.0,40.0,28.0,24.8
East London,South Africa,ZA,-32.97,27.87,338627,0,9,0,10,0,21,6.2,593,17.5,30,59.6,387.9,25.0,1600,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,39.0,55.1
Beni,Congo (Kinshasa),CD,0.4904,29.45,332903,12,104,0,18,7,208,62.5,1077,32.4,11,84.1,528.3,20.0,2105,233,70.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,56.0,44.1
Medani,Sudan,SD,14.4,33.52,332714,4,1,0,19,0,24,7.2,318,9.6,6,36.2,83.1,15.0,447,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,46.0,20.1
Bujumbura,Burundi,BI,-3.3761,29.36,331700,79,13,0,25,0,118,35.6,228,6.9,5,8.3,79.4,40.0,424,0,0.0,30.0,99.0,0,28.1,24.5,1.8,2.0,1.7,17.7,30.0,30.0,65.0,15.6
Sousse,Tunisia,TN,35.83,10.625,327004,4,15,0,120,1,208,63.6,1194,36.5,60,248.2,507.5,15.0,2520,58,17.7,82.0,72.0,1,317.7,37.9,3.3,3.5,3.3,39.8,65.0,65.0,74.0,62.3
Maroua,Cameroon,CM,10.5956,14.3247,319941,1,3,0,0,0,4,1.3,191,6.0,4,2.0,6.1,20.0,90,0,0.0,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,24.0,18.4
El Faiyum,Egypt,EG,29.31,30.84,316772,2,2,0,2,0,7,2.2,202,6.4,10,71.0,95.3,15.0,574,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,47.0,35.7
Bauchi,Nigeria,NG,10.3104,9.84,316149,8,7,0,0,2,18,5.7,135,4.3,3,35.4,105.0,30.0,539,93,29.4,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,55.0,26.2
Aswan,Egypt,EG,24.0875,32.8989,313442,0,23,0,2,0,26,8.3,101,3.2,5,35.9,357.8,15.0,1281,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,47.0,41.3
Sapele,Nigeria,NG,5.8904,5.68,309162,0,0,0,0,0,0,0.0,17,0.5,0,4.5,6.0,30.0,125,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,15.0,18.6
Antsirabe,Madagascar,MG,-19.85,47.0333,307921,3,5,0,10,0,19,6.2,28,0.9,1,3.0,6.9,40.0,154,0,0.0,35.0,99.0,0,17.4,27.4,2.0,2.3,1.8,20.7,32.0,32.0,41.0,11.8
Ksar El Kebir,Morocco,MA,35.0204,-5.91,306600,5,1,0,77,0,83,27.1,562,18.3,28,199.0,37.7,15.0,772,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,74.0,44.3
Kom Ombo,Egypt,EG,24.47,32.95,303962,0,28,0,1,0,29,9.5,101,3.3,5,37.0,411.5,15.0,1409,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,50.0,43.0
Qena,Egypt,EG,26.1505,32.72,302027,2,1,0,1,0,4,1.3,202,6.7,10,74.5,57.1,15.0,443,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,36.0,34.8
Jinja,Uganda,UG,0.4404,33.1999,301619,73,366,0,51,0,491,162.8,144,4.8,3,19.6,277.6,40.0,1017,0,0.0,55.0,85.0,1,45.2,32.2,2.8,3.0,2.8,31.1,38.0,38.0,68.0,29.9
Porto-Novo,Benin,BJ,6.4833,2.6166,300000,28,43,0,36,1,110,36.7,345,11.5,7,56.8,67.3,30.0,462,38,12.7,45.0,99.0,0,46.5,42.4,2.0,2.3,2.0,24.3,38.0,38.0,60.0,23.1
Curepipe,Mauritius,MU,-20.3162,57.5166,299975,4,25,0,73,8,123,41.0,1514,50.5,76,400.0,529.0,40.0,2907,439,146.3,78.0,90.0,1,616.2,45.2,3.0,3.3,3.0,36.3,68.0,68.0,67.0,77.7
Dumyat,Egypt,EG,31.4204,31.82,299459,5,2,0,5,0,14,4.7,505,16.9,25,187.7,201.7,15.0,1211,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,51.0,46.6
Thiès,Senegal,SN,14.8104,-16.93,293001,1,39,0,49,1,95,32.4,227,7.7,5,13.5,64.6,30.0,317,50,17.1,55.0,90.0,1,73.2,44.3,2.5,3.0,2.5,30.1,38.0,38.0,58.0,24.9
Makurdi,Nigeria,NG,7.73,8.53,292645,0,0,0,1,0,1,0.3,17,0.6,0,4.8,6.3,30.0,120,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,16.0,18.7
